0.25,1,250,0.4737,0.7537,0.5818,0.4414,0.0345,29
0.25,0.75,250,0.4736,0.7531,0.5815,0.4423,0.0345,29
0.5,0.25,450,0.549,0.6177,0.5813,0.3844,0.0345,29
0.75,0.5,250,0.4728,0.7526,0.5808,0.443,0.0345,29
0.75,0.25,450,0.555,0.6088,0.5806,0.379,0.0345,29
0.5,0,400,0.5192,0.656,0.5796,0.3999,0.0345,29
1,1,200,0.4701,0.7536,0.579,0.443,0.0345,29
1,0,400,0.5579,0.5976,0.577,0.3705,0.0345,29
0.25,0.25,450,0.5395,0.6182,0.5762,0.3877,0.0345,29
0.75,1,500,0.5394,0.615,0.5747,0.3405,0.0345,29
0.5,1,500,0.5337,0.6205,0.5738,0.3418,0.0345,29
0.75,1,200,0.4613,0.7545,0.5725,0.4439,0.0345,29
0,1,250,0.4601,0.7529,0.5711,0.4371,0.0345,29
0.25,1,500,0.528,0.6218,0.5711,0.3409,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,300,0.4863,0.6918,0.5711,0.4217,0.0345,29
1,0.75,200,0.4569,0.7532,0.5688,0.4455,0.0345,29
1,0.25,450,0.56,0.5757,0.5678,0.3588,0.0345,29
0,1,500,0.5236,0.6189,0.5673,0.3423,0.0345,29
0.75,0,350,0.484,0.6845,0.5671,0.4125,0.0345,29
0,0.25,450,0.5206,0.6223,0.5669,0.3822,0.0345,29
0.25,0,400,0.4904,0.6708,0.5666,0.4041,0.0345,29
1,1,500,0.5458,0.5891,0.5666,0.3251,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,300,0.4694,0.706,0.5639,0.4311,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,300,0.5009,0.6428,0.563,0.3958,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,350,0.5146,0.6164,0.561,0.394,0.0345,29
0.25,0.75,500,0.5338,0.5908,0.5608,0.3389,0.0345,29
0,0.25,350,0.4516,0.7379,0.5603,0.4328,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,350,0.4975,0.6411,0.5603,0.4081,0.0345,29
0,0.75,500,0.5292,0.5952,0.5603,0.34,0.0345,29
0,0.5,300,0.4465,0.7514,0.5602,0.4399,0.0345,29
0.75,0.75,500,0.5509,0.5697,0.5601,0.3314,0.0345,29
0.5,0,450,0.5435,0.5778,0.5601,0.3624,0.0345,29
0.5,0.75,500,0.5402,0.581,0.5599,0.3404,0.0345,29
0.75,0,450,0.5542,0.5647,0.5594,0.3585,0.0345,29
0.5,1,200,0.4439,0.7549,0.5591,0.4441,0.0345,29
1,0.75,500,0.5598,0.5482,0.5539,0.3168,0.0345,29
1,0,450,0.5667,0.5409,0.5535,0.3422,0.0345,29
0.5,0.5,500,0.5517,0.5542,0.5529,0.3445,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,350,0.5308,0.5758,0.5524,0.365,0.0345,29
0,0.75,250,0.4344,0.7533,0.551,0.4422,0.0345,29
0.25,0.5,500,0.5382,0.5622,0.5499,0.3359,0.0345,29
0.25,0,450,0.521,0.5821,0.5498,0.3658,0.0345,29
0.75,0.75,200,0.4323,0.7541,0.5496,0.4446,0.0345,29
0,0.5,500,0.5314,0.5684,0.5493,0.3303,0.0345,29
0.5,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,400,0.5227,0.5759,0.548,0.3787,0.0345,29
0.25,1,200,0.4291,0.7552,0.5473,0.4444,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,350,0.4778,0.6359,0.5457,0.4064,0.0345,29
0.25,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,300,0.4456,0.7003,0.5446,0.4294,0.0345,29
0.75,0.5,500,0.56,0.5295,0.5443,0.3252,0.0345,29
0.75,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,250,0.4343,0.7289,0.5443,0.4365,0.0345,29
1,6|ConstantRescaler[y-min:0.0#y-max:1000.0#x-min:0.0#persistence-provider:inherit: ecd.default-log-persistence-provider #x-max:1.0,250,0.4506,0.686,0.5439,0.4173,0.0345,29
