LogisticClassifier,M=1000,400,0.5645,0.6471,0.603
LogisticClassifier,M=1000,450,0.5645,0.6471,0.603
LogisticClassifier,M=1000,500,0.5645,0.6471,0.603
LogisticClassifier,M=1000,550,0.5642,0.646,0.6023
LogisticClassifier,M=1000,600,0.5642,0.646,0.6023
LogisticClassifier,M=1000,650,0.5642,0.646,0.6023
LogisticClassifier,M=1000,700,0.5642,0.646,0.6023
LogisticClassifier,M=1000,750,0.5642,0.646,0.6023
LogisticClassifier,M=1000,800,0.5642,0.646,0.6023
LogisticClassifier,M=1000,850,0.5642,0.646,0.6023
LogisticClassifier,M=1000,900,0.5642,0.646,0.6023
LogisticClassifier,M=1000,950,0.5642,0.646,0.6023
LogisticClassifier,M=1000,1000,0.5642,0.646,0.6023
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,0,0.3567,0.6991,0.4724
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,50,0.4718,0.6991,0.5633
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,100,0.4756,0.6991,0.5661
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,150,0.4769,0.6991,0.567
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,200,0.5307,0.6989,0.6033
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,250,0.5373,0.6989,0.6075
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,300,0.5375,0.6989,0.6076
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,350,0.5375,0.6988,0.6076
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,400,0.5375,0.6988,0.6076
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,450,0.5376,0.6988,0.6077
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,500,0.5388,0.6979,0.6081
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,550,0.9349,0.6951,0.7973
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,600,0.9384,0.6951,0.7986
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,650,0.9386,0.6951,0.7987
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,700,0.9392,0.6945,0.7985
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,750,0.9394,0.6945,0.7986
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,800,0.9398,0.6945,0.7987
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,850,0.9781,0.6945,0.8122
StanfordNLPClassifier,useClassFeature=true;useNB=false;prior=no,900,0.9823,0.6945,0.8137
